"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.250539500E0,-1.788436919E-1,4.420755059E-2,-6.207645871E-3
3.260471500E0,-1.478860676E-1,1.549527645E-1,-5.006147549E-3
3.270403500E0,-9.555202723E-2,2.656617165E-1,-1.186642097E-3
3.280335708E0,-5.237312242E-2,3.371163607E-1,3.792348085E-3
3.290268708E0,-6.334001571E-2,3.464243710E-1,2.239079960E-2
3.300200708E0,-1.425080597E-1,2.301562428E-1,4.578423873E-2
3.310132708E0,-2.279100418E-1,6.889277697E-2,8.591328561E-2
3.320065708E0,-3.186790049E-1,1.964558661E-2,1.090745628E-1
3.329997708E0,-3.891451955E-1,1.129837930E-1,1.045706198E-1
3.339929708E0,-4.135800600E-1,2.276872247E-1,9.880325198E-2
3.349861708E0,-4.042424858E-1,2.803781033E-1,1.016981080E-1
3.359794708E0,-3.936463296E-1,2.575193644E-1,1.108594686E-1
3.369726708E0,-3.989987373E-1,2.449662834E-1,1.194439009E-1
3.379658708E0,-4.121406674E-1,2.241268605E-1,1.154564917E-1
3.389590708E0,-4.418237209E-1,2.057704926E-1,1.008937955E-1
3.399523708E0,-5.021468401E-1,3.354300559E-1,8.263038099E-2
3.409455708E0,-5.205168128E-1,4.874608815E-1,5.732874945E-2
3.419387708E0,-4.704352319E-1,5.191825628E-1,3.097091056E-2
3.429320708E0,-4.051840603E-1,4.763043523E-1,8.979859762E-3
3.439252708E0,-3.665823638E-1,3.335977793E-1,2.600316145E-2
3.449184708E0,-3.458669782E-1,2.118660212E-1,4.044042528E-2
3.459116708E0,-3.331604004E-1,1.359693408E-1,7.094694674E-2
3.469049708E0,-2.990077734E-1,1.007937789E-1,8.709289134E-2
3.478981708E0,-2.591517568E-1,9.422323853E-2,1.321433187E-1
3.488913708E0,-2.362096608E-1,1.416309774E-1,1.359990537E-1
3.498846708E0,-2.259867340E-1,1.812717319E-1,1.027954221E-1
3.508778708E0,-2.071107775E-1,1.694377065E-1,5.468274653E-2
3.518710708E0,-1.875317395E-1,1.186721474E-1,8.470190689E-3
3.528642708E0,-1.512261927E-1,5.038496852E-2,-3.224554658E-2
3.538575708E0,-1.145791411E-1,-5.736291036E-2,-4.635870829E-2
3.548507708E0,-1.107923985E-1,-1.486174464E-1,-2.023842372E-2
3.558439708E0,-1.416354328E-1,-1.437282711E-1,-1.213735901E-2
3.568372708E0,-1.716045141E-1,-1.185925528E-1,-1.252218522E-2
3.578304708E0,-1.577722430E-1,-1.365404129E-1,-2.144853957E-2
3.588236708E0,-1.197449639E-1,-1.553364694E-1,-2.914880216E-2
3.598168708E0,-7.808462530E-2,-1.769537926E-1,-3.947411105E-2
3.608101708E0,-5.559182912E-2,-1.755407304E-1,-4.319241643E-2
3.618033708E0,-4.490674287E-2,-1.599265337E-1,-3.661346436E-2
3.627965708E0,-5.375163257E-2,-1.516726017E-1,-2.821252123E-2
3.637898708E0,-6.626780331E-2,-1.380774528E-1,-2.970170043E-2
3.647830708E0,-5.894810334E-2,-1.118298769E-1,-3.670687973E-2
3.657762708E0,-4.498135671E-2,-1.033220366E-1,-3.990205377E-2
3.667694708E0,-2.358525433E-2,-9.206858277E-2,-2.711968124E-2
3.677627708E0,1.453836542E-2,-7.776352018E-2,-1.158661209E-2
3.687559708E0,4.318918288E-2,-4.492568225E-2,6.506128702E-4
3.697491708E0,5.961291119E-2,3.808445996E-3,-2.502093092E-3
3.707423708E0,5.254621431E-2,3.702418879E-2,-9.297681041E-3
3.717356708E0,6.349098682E-2,2.534794807E-2,-9.738644585E-3
3.727288708E0,6.504361331E-2,-1.929169148E-2,3.135075560E-3
